"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","POND2"
"1",1968,"01","25-42",1,1,9040
"2",1968,"01","25-42",1,2,6220
"3",1968,"01","25-42",1,3,2088
"4",1968,"01","25-42",1,4,6760
"5",1968,"01","25-42",1,5,9760
"6",1968,"01","25-42",1,6,23328
"7",1968,"01","25-42",2,3,12
"8",1968,"01","25-42",2,4,40
"9",1968,"01","25-42",2,5,64
"10",1968,"01","25-42",2,6,256
"11",1968,"01","25-42",2,9,8
"12",1968,"01","25-42",3,9,132
"13",1968,"01","25-42",4,9,36
"14",1968,"01","25-42",6,9,20000
"15",1968,"01","42-60",1,1,13908
"16",1968,"01","42-60",1,2,6664
"17",1968,"01","42-60",1,3,1648
"18",1968,"01","42-60",1,4,4272
"19",1968,"01","42-60",1,5,6716
"20",1968,"01","42-60",1,6,13612
"21",1968,"01","42-60",2,3,20
"22",1968,"01","42-60",2,4,20
"23",1968,"01","42-60",2,5,48
"24",1968,"01","42-60",2,6,192
"25",1968,"01","42-60",2,9,4
"26",1968,"01","42-60",3,9,8
"27",1968,"01","42-60",4,9,4
"28",1968,"01","42-60",5,8,2856
"29",1968,"01","42-60",6,9,14952
"30",1968,"01","6-24",1,1,2168
"31",1968,"01","6-24",1,2,900
"32",1968,"01","6-24",1,3,224
"33",1968,"01","6-24",1,4,2508
"34",1968,"01","6-24",1,5,8856
"35",1968,"01","6-24",1,6,16840
"36",1968,"01","6-24",2,3,4
"37",1968,"01","6-24",2,4,44
"38",1968,"01","6-24",2,5,232
"39",1968,"01","6-24",2,6,288
"40",1968,"01","6-24",2,9,40
"41",1968,"01","6-24",3,9,17784
"42",1968,"01","6-24",4,9,1572
"43",1968,"01","6-24",6,9,51144
"44",1968,"01","60 and more",1,1,7136
"45",1968,"01","60 and more",1,2,2392
"46",1968,"01","60 and more",1,3,272
"47",1968,"01","60 and more",1,4,808
"48",1968,"01","60 and more",1,5,1336
"49",1968,"01","60 and more",1,6,2600
"50",1968,"01","60 and more",2,4,4
"51",1968,"01","60 and more",2,5,12
"52",1968,"01","60 and more",2,6,76
"53",1968,"01","60 and more",5,8,30948
"54",1968,"01","60 and more",6,9,13484
"55",1968,"01","<6",6,9,34412
"56",1968,"02","25-42",1,1,6360
"57",1968,"02","25-42",1,2,6772
"58",1968,"02","25-42",1,3,2944
"59",1968,"02","25-42",1,4,9788
"60",1968,"02","25-42",1,5,13156
"61",1968,"02","25-42",1,6,35960
"62",1968,"02","25-42",2,3,20
"63",1968,"02","25-42",2,4,40
"64",1968,"02","25-42",2,5,256
"65",1968,"02","25-42",2,6,832
"66",1968,"02","25-42",2,9,4
"67",1968,"02","25-42",3,9,160
"68",1968,"02","25-42",4,9,28
"69",1968,"02","25-42",6,9,35584
"70",1968,"02","42-60",1,1,6540
"71",1968,"02","42-60",1,2,6484
"72",1968,"02","42-60",1,3,2224
"73",1968,"02","42-60",1,4,6732
"74",1968,"02","42-60",1,5,9604
"75",1968,"02","42-60",1,6,24052
"76",1968,"02","42-60",2,3,8
"77",1968,"02","42-60",2,4,56
"78",1968,"02","42-60",2,5,152
"79",1968,"02","42-60",2,6,628
"80",1968,"02","42-60",3,9,4
"81",1968,"02","42-60",4,9,4
"82",1968,"02","42-60",5,8,5888
"83",1968,"02","42-60",6,9,28668
"84",1968,"02","6-24",1,1,2112
"85",1968,"02","6-24",1,2,1056
"86",1968,"02","6-24",1,3,256
"87",1968,"02","6-24",1,4,4016
"88",1968,"02","6-24",1,5,13536
"89",1968,"02","6-24",1,6,30908
"90",1968,"02","6-24",2,3,12
"91",1968,"02","6-24",2,4,68
"92",1968,"02","6-24",2,5,452
"93",1968,"02","6-24",2,6,816
"94",1968,"02","6-24",2,9,180
"95",1968,"02","6-24",3,9,27244
"96",1968,"02","6-24",4,9,2648
"97",1968,"02","6-24",6,9,94196
"98",1968,"02","60 and more",1,1,2816
"99",1968,"02","60 and more",1,2,2460
"100",1968,"02","60 and more",1,3,456
"101",1968,"02","60 and more",1,4,956
"102",1968,"02","60 and more",1,5,1772
"103",1968,"02","60 and more",1,6,4200
"104",1968,"02","60 and more",2,3,4
"105",1968,"02","60 and more",2,4,8
"106",1968,"02","60 and more",2,5,28
"107",1968,"02","60 and more",2,6,100
"108",1968,"02","60 and more",5,8,43832
"109",1968,"02","60 and more",6,9,28856
"110",1968,"02","<6",6,9,60176
"111",1968,"03","25-42",1,1,7572
"112",1968,"03","25-42",1,2,5484
"113",1968,"03","25-42",1,3,2316
"114",1968,"03","25-42",1,4,7176
"115",1968,"03","25-42",1,5,10224
"116",1968,"03","25-42",1,6,21764
"117",1968,"03","25-42",2,3,16
"118",1968,"03","25-42",2,4,56
"119",1968,"03","25-42",2,5,216
"120",1968,"03","25-42",2,6,380
"121",1968,"03","25-42",2,9,20
"122",1968,"03","25-42",3,9,140
"123",1968,"03","25-42",4,9,48
"124",1968,"03","25-42",6,9,24088
"125",1968,"03","42-60",1,1,10936
"126",1968,"03","42-60",1,2,8276
"127",1968,"03","42-60",1,3,2092
"128",1968,"03","42-60",1,4,4876
"129",1968,"03","42-60",1,5,9104
"130",1968,"03","42-60",1,6,16104
"131",1968,"03","42-60",2,3,8
"132",1968,"03","42-60",2,4,60
"133",1968,"03","42-60",2,5,300
"134",1968,"03","42-60",2,6,476
"135",1968,"03","42-60",3,9,8
"136",1968,"03","42-60",5,8,4724
"137",1968,"03","42-60",6,9,23296
"138",1968,"03","6-24",1,1,2452
"139",1968,"03","6-24",1,2,736
"140",1968,"03","6-24",1,3,204
"141",1968,"03","6-24",1,4,2172
"142",1968,"03","6-24",1,5,8124
"143",1968,"03","6-24",1,6,15916
"144",1968,"03","6-24",2,4,60
"145",1968,"03","6-24",2,5,532
"146",1968,"03","6-24",2,6,564
"147",1968,"03","6-24",2,9,176
"148",1968,"03","6-24",3,9,20092
"149",1968,"03","6-24",4,9,1812
"150",1968,"03","6-24",6,9,54984
