"idBank";"Dernière mise à jour";"Puissance";"Unité";"Périodicité";"Indicateur";"Zone géographique";"Nature";"Correction";"﻿Base de l'indice"
"010605954";"13/01/2023 08:45";"0";"sans objet";"Annuelle";"Indice des prix à la consommation (IPC)";"France";"Indice";"Non corrigé";"2015"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
