"Libellé";"Coefficient de transformation de l'euro ou du franc d'une année, en euro ou en franc d'une autre année – Base 2015";"Codes"
"idBank";"010605954";""
"Dernière mise à jour";"13/01/2023 08:45";""
"Période";"";""
"2022";"112.01";"A"
"2021";"106.45";"A"
"2020";"104.73";"A"
"2019";"104.23";"A"
"2018";"103.09";"A"
"2017";"101.22";"A"
"2016";"100.18";"A"
"2015";"100.0";"A"
"2014";"99.96";"A"
"2013";"99.46";"A"
"2012";"98.6";"A"
"2011";"96.71";"A"
"2010";"94.71";"A"
"2009";"93.29";"A"
"2008";"93.21";"A"
"2007";"90.66";"A"
"2006";"89.33";"A"
"2005";"87.9";"A"
"2004";"86.3";"A"
"2003";"84.5";"A"
"2002";"82.8";"A"
"2001";"81.2";"A"
"2000";"79.9";"A"
"1999";"78.6";"A"
"1998";"78.2";"A"
"1997";"77.7";"A"
"1996";"76.8";"A"
"1995";"75.3";"A"
"1994";"73.9";"A"
"1993";"72.7";"A"
"1992";"71.2";"A"
"1991";"69.6";"A"
"1990";"67.4";"A"
"1989";"65.2";"A"
"1988";"62.93";"A"
"1987";"61.28";"A"
"1986";"59.41";"A"
"1985";"57.87";"A"
"1984";"54.69";"A"
"1983";"50.92";"A"
"1982";"46.45";"A"
"1981";"41.54";"A"
"1980";"36.63";"A"
"1979";"32.26";"A"
"1978";"29.12";"A"
"1977";"26.7";"A"
"1976";"24.42";"A"
"1975";"22.27";"A"
"1974";"19.93";"A"
"1973";"17.52";"A"
"1972";"16.04";"A"
"1971";"15.11";"A"
"1970";"14.3";"A"
"1969";"13.59";"A"
"1968";"12.77";"A"
"1967";"12.22";"A"
"1966";"11.89";"A"
"1965";"11.58";"A"
"1964";"11.3";"A"
"1963";"10.92";"A"
"1962";"10.42";"A"
"1961";"9.95";"A"
"1960";"9.63";"A"
"1959";"9.29";"A"
"1958";"8.75";"A"
"1957";"7.61";"A"
"1956";"7.38";"A"
"1955";"7.09";"A"
"1954";"7.02";"A"
"1953";"6.99";"A"
"1952";"7.11";"A"
"1951";"6.35";"A"
"1950";"5.47";"A"
"1949";"4.97";"A"
"1948";"4.39";"A"
"1947";"2.77";"A"
"1946";"1.85";"A"
"1945";"1.21";"A"
"1944";"0.82";"A"
"1943";"0.67";"A"
"1942";"0.54";"A"
"1941";"0.45";"A"
"1940";"0.38";"A"
"1939";"0.32";"A"
"1938";"0.3";"A"
"1937";"0.27";"A"
"1936";"0.21";"A"
"1935";"0.2";"A"
"1934";"0.22";"A"
"1933";"0.22";"A"
"1932";"0.23";"A"
"1931";"0.25";"A"
"1930";"0.27";"A"
"1929";"0.26";"A"
"1928";"0.25";"A"
"1927";"0.25";"A"
"1926";"0.24";"A"
"1925";"0.18";"A"
"1924";"0.17";"A"
"1923";"0.15";"A"
"1922";"0.14";"A"
"1921";"0.14";"A"
"1920";"0.16";"A"
"1919";"0.12";"A"
"1918";"0.09";"A"
"1917";"0.07";"A"
"1916";"0.06";"A"
"1915";"0.05";"A"
"1914";"0.05";"A"
"1913";"0.05";"A"
"1912";"0.05";"A"
"1911";"0.05";"A"
"1910";"0.04";"A"
"1909";"0.04";"A"
"1908";"0.04";"A"
"1907";"0.04";"A"
"1906";"0.04";"A"
"1905";"0.04";"A"
"1904";"0.04";"A"
"1903";"0.04";"A"
"1902";"0.04";"A"
"1901";"0.04";"A"
