DEP_RES_21,Tranche d'age,AN_RECENS,CSP,TYP_ACT,POND
01,less than 15,1968,9,6,80000
01,less than 15,1968,9,3,4044
01,less than 15,1968,9,2,4
01,15-29,1968,9,3,13828
01,15-29,1968,6,2,364
01,15-29,1968,9,6,10320
01,15-29,1968,5,2,248
01,15-29,1968,9,2,36
01,15-29,1968,9,4,1604
01,15-29,1968,4,2,64
01,15-29,1968,3,2,12
01,30-44,1968,9,3,44
01,30-44,1968,9,6,17300
01,30-44,1968,6,2,212
01,30-44,1968,5,2,52
01,30-44,1968,3,2,4
01,45-59,1968,9,6,12120
01,45-59,1968,6,2,140
01,45-59,1968,9,2,4
01,45-59,1968,4,2,16
01,45-59,1968,5,2,40
01,45-59,1968,9,3,8
01,45-59,1968,8,5,2232
01,45-59,1968,3,2,20
01,60-74,1968,8,5,20488
01,60-74,1968,9,6,10076
01,60-74,1968,6,2,96
01,60-74,1968,4,2,4
01,60-74,1968,5,2,16
01,75 more,1968,8,5,11084
01,75 more,1968,9,6,4176
01,30-44,1968,4,2,24
01,less than 15,1968,1,1,68
01,less than 15,1968,6,1,280
01,less than 15,1968,5,1,44
01,15-29,1968,1,1,3468
01,15-29,1968,6,1,23156
01,15-29,1968,5,1,11820
01,15-29,1968,2,1,2012
01,15-29,1968,4,1,4808
01,15-29,1968,3,1,748
01,30-44,1968,1,1,9308
01,30-44,1968,6,1,18900
01,30-44,1968,2,1,5968
01,30-44,1968,5,1,7708
01,30-44,1968,4,1,5124
01,30-44,1968,3,1,1808
01,45-59,1968,1,1,11332
01,45-59,1968,6,1,10888
01,45-59,1968,2,1,5436
01,45-59,1968,5,1,5500
01,45-59,1968,4,1,3504
01,45-59,1968,3,1,1356
01,60-74,1968,1,1,7420
01,60-74,1968,6,1,3092
01,60-74,1968,2,1,2516
01,60-74,1968,5,1,1556
01,60-74,1968,4,1,788
01,60-74,1968,3,1,308
01,75 more,1968,1,1,656
01,75 more,1968,6,1,64
01,75 more,1968,2,1,236
01,75 more,1968,3,1,12
01,75 more,1968,5,1,40
01,75 more,1968,4,1,120
01,45-59,1968,9,4,4
01,30-44,1968,9,4,4
01,less than 15,1968,2,1,8
01,less than 15,1968,4,1,4
01,30-44,1968,9,2,8
02,less than 15,1968,9,6,143752
02,less than 15,1968,9,3,7180
02,30-44,1968,9,6,32520
02,30-44,1968,6,2,740
02,45-59,1968,9,6,22580
02,45-59,1968,8,5,4668
02,60-74,1968,9,6,21864
02,60-74,1968,8,5,31784
02,75 more,1968,8,5,13268
02,75 more,1968,9,6,8748
02,15-29,1968,4,1,7024
02,15-29,1968,6,1,39144
02,30-44,1968,1,1,6276
02,30-44,1968,6,1,31312
02,45-59,1968,6,1,18932
02,45-59,1968,2,1,5148
02,45-59,1968,4,1,5448
02,60-74,1968,2,1,2484
02,75 more,1968,4,1,120
02,30-44,1968,4,1,7904
02,less than 15,1968,9,2,4
02,15-29,1968,9,3,20152
02,15-29,1968,6,2,1020
02,15-29,1968,9,2,176
02,15-29,1968,9,6,18016
02,15-29,1968,5,2,516
02,15-29,1968,9,4,2676
02,15-29,1968,4,2,88
02,15-29,1968,3,2,20
02,30-44,1968,9,3,76
02,30-44,1968,5,2,220
02,30-44,1968,4,2,24
02,45-59,1968,6,2,484
02,45-59,1968,4,2,44
02,45-59,1968,5,2,116
02,45-59,1968,9,4,4
02,60-74,1968,4,2,16
02,60-74,1968,6,2,132
02,60-74,1968,5,2,36
02,less than 15,1968,6,1,520
02,less than 15,1968,5,1,72
02,less than 15,1968,1,1,52
02,less than 15,1968,2,1,12
02,15-29,1968,1,1,3096
02,15-29,1968,5,1,17140
02,15-29,1968,2,1,2340
02,15-29,1968,3,1,944
02,30-44,1968,5,1,10916
02,30-44,1968,2,1,6524
02,30-44,1968,3,1,2648
02,45-59,1968,1,1,5152
02,45-59,1968,5,1,7740
02,45-59,1968,3,1,1764
02,60-74,1968,1,1,3088
02,60-74,1968,6,1,5124
02,60-74,1968,5,1,2152
02,60-74,1968,4,1,996
02,60-74,1968,3,1,484
02,75 more,1968,1,1,164
02,75 more,1968,2,1,264
02,75 more,1968,3,1,40
02,75 more,1968,5,1,48
02,75 more,1968,6,1,88
02,60-74,1968,3,2,4
02,45-59,1968,3,2,8
02,30-44,1968,9,2,4
02,30-44,1968,3,2,12
03,less than 15,1968,9,6,82448
03,15-29,1968,5,2,604
03,15-29,1968,9,6,11432
03,30-44,1968,9,6,22012
03,less than 15,1968,9,3,4708
03,15-29,1968,9,3,15444
03,30-44,1968,5,2,180
03,45-59,1968,9,6,19048
03,45-59,1968,6,2,388
03,60-74,1968,9,6,18052
03,60-74,1968,8,5,29808
03,75 more,1968,8,5,14724
03,75 more,1968,9,6,8420
03,15-29,1968,6,1,21320
03,30-44,1968,3,1,2112
03,30-44,1968,4,1,5708
03,30-44,1968,2,1,5472
03,15-29,1968,4,1,4328
03,45-59,1968,4,1,4008
