"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","test"
"1",1968,"01","15-29",1,1,3468
"2",1968,"01","15-29",1,2,2012
"3",1968,"01","15-29",1,3,748
"4",1968,"01","15-29",1,4,4808
"5",1968,"01","15-29",1,5,11820
"6",1968,"01","15-29",1,6,23156
"7",1968,"01","15-29",2,3,12
"8",1968,"01","15-29",2,4,64
"9",1968,"01","15-29",2,5,248
"10",1968,"01","15-29",2,6,364
"11",1968,"01","15-29",2,9,36
"12",1968,"01","15-29",3,9,13828
"13",1968,"01","15-29",4,9,1604
"14",1968,"01","15-29",6,9,10320
"15",1968,"01","30-44",1,1,9308
"16",1968,"01","30-44",1,2,5968
"17",1968,"01","30-44",1,3,1808
"18",1968,"01","30-44",1,4,5124
"19",1968,"01","30-44",1,5,7708
"20",1968,"01","30-44",1,6,18900
"21",1968,"01","30-44",2,3,4
"22",1968,"01","30-44",2,4,24
"23",1968,"01","30-44",2,5,52
"24",1968,"01","30-44",2,6,212
"25",1968,"01","30-44",2,9,8
"26",1968,"01","30-44",3,9,44
"27",1968,"01","30-44",4,9,4
"28",1968,"01","30-44",6,9,17300
"29",1968,"01","45-59",1,1,11332
"30",1968,"01","45-59",1,2,5436
"31",1968,"01","45-59",1,3,1356
"32",1968,"01","45-59",1,4,3504
"33",1968,"01","45-59",1,5,5500
"34",1968,"01","45-59",1,6,10888
"35",1968,"01","45-59",2,3,20
"36",1968,"01","45-59",2,4,16
"37",1968,"01","45-59",2,5,40
"38",1968,"01","45-59",2,6,140
"39",1968,"01","45-59",2,9,4
"40",1968,"01","45-59",3,9,8
"41",1968,"01","45-59",4,9,4
"42",1968,"01","45-59",5,8,2232
"43",1968,"01","45-59",6,9,12120
"44",1968,"01","60-74",1,1,7420
"45",1968,"01","60-74",1,2,2516
"46",1968,"01","60-74",1,3,308
"47",1968,"01","60-74",1,4,788
"48",1968,"01","60-74",1,5,1556
"49",1968,"01","60-74",1,6,3092
"50",1968,"01","60-74",2,4,4
"51",1968,"01","60-74",2,5,16
"52",1968,"01","60-74",2,6,96
"53",1968,"01","60-74",5,8,20488
"54",1968,"01","60-74",6,9,10076
"55",1968,"01","75 and more",1,1,544
"56",1968,"01","75 and more",1,2,184
"57",1968,"01","75 and more",1,3,4
"58",1968,"01","75 and more",1,4,108
"59",1968,"01","75 and more",1,5,36
"60",1968,"01","75 and more",1,6,52
"61",1968,"01","75 and more",5,8,9876
"62",1968,"01","75 and more",6,9,3748
"63",1968,"01","<15",1,1,68
"64",1968,"01","<15",1,2,8
"65",1968,"01","<15",1,4,4
"66",1968,"01","<15",1,5,44
"67",1968,"01","<15",1,6,280
"68",1968,"01","<15",2,9,4
"69",1968,"01","<15",3,9,4044
"70",1968,"01","<15",6,9,80000
"71",1968,"01",NA,1,1,112
"72",1968,"01",NA,1,2,52
"73",1968,"01",NA,1,3,8
"74",1968,"01",NA,1,4,12
"75",1968,"01",NA,1,5,4
"76",1968,"01",NA,1,6,12
"77",1968,"01",NA,5,8,1208
"78",1968,"01",NA,6,9,428
"79",1968,"02","15-29",1,1,3096
"80",1968,"02","15-29",1,2,2340
"81",1968,"02","15-29",1,3,944
